识别领域 语音识别领域
三维对象 三维对象描述
趋势显示中国中产阶级 显示
内存 内存对象
金融 金融科技
识别领域 掌纹识别领域
盲文 盲文输入计算机
对象 分析对象
不断涌现 信息技术热点不断涌现
量化 均匀量化
网络 复杂网络角度
业务流程定义语言 业务流程定义
构建 构建跨平台
通量 通量型
属性 反射属性
算法 句判定算法
方向 架构伸缩性
虚拟化技术 多机虚拟化技术
性化 个性化媒体推荐
静态图 静态图像特征
发展趋势 产业发展趋势
学习 通用学习
函数 计算势能函数
时间敏感 时间敏感数据流
缓存能力 缓存能力开放
系统虚拟化 计算系统虚拟化
搜索服务 视觉搜索服务
国产处理器 制约国产处理器
论文 研究论文领域分布
战略 解决问题战略
国家安全 国家安全技术标准
工业标准流程 流程
算法模块 基本算法模块
低枝 低枝果实
课程 计算机课程体系
网络性能预测 应用层网络性能预测
指令集 指令集计算机
编译器 编译器架构
研究所 中国科学院计算技术研究所高性能计算团队
拟化 虚拟化环境软件
数据 数据同步框架整合
监督 无监督翻译
基础设施 基础设施安全
数据 数据聚合
公司 内蒙古奥云信息技术服务有限公司
计算 计算生理信号
集群 数据集群
装置 无线电接收装置
定向 定向技术
语言编写 高级语言编写
数据 医疗数据推理
会员公布 会员
模块化安全密码学协议 模块
方向 自由性
可编辑 联合渲染可编辑场景
信息服务 用户获取信息服务
鼠标 鼠标右键
表 表示模型
漏洞 工控安全漏洞
虚实融合环境 虚实融合环境交互
信息安全 小语种信息安全
数据可视化 科学数据可视化
图同构 子图同构
文件加密流程 加密流程
关系 拷贝关系
域名 域名解析体系
修复 自动修复软件缺陷
状态 感知状态
学习 多码本学习
学习 学习样本量
领域扩展 研究领域扩展
拟化 虚拟化原语
城市道路 城市道路积水
团队 中国团队原创
体系 协议体系
通路 精细加工通路
流程 实验流程
方向 初始化
安装 本地安装软件
武汉大学软件工程国家重点实验室 武汉大学
网数据 物联网数据空间
满足用户心理 心理
超平面 分类超平面
协议 传输层端到端传输协议
关系数据库关键词检索 关系数据库关键词检索原型系统
研究领域 交互技术研究领域
演化 桌面演化
生成 证明生成
战略图模型 图模型
样式 作战样式
定律 缩放定律
算机 计算机网络体系奖
群体 理解群体
生物 测量生物
导航学习路径 生成导航学习路径
教育 计算机基础课程教学改革
区块链 区块链数字金融信息系统
有效 有效训练样本
账户区块链系统扩展性分析 区块链系统
物理 物理分析计算机
数据 数据黑盒
算法 抢占式调度算法
服务器 Web服务器
语义化知识表示 语义
模数 规模数据
研究比较 研究比较充分
业务逻辑 业务逻辑服务
有限 情感种类有限
情感 情感联络
绑定反射对象 反射
人类 人类知识
编程 编程库函数
隐私保护 隐私保护政策
称号 心脏性猝死病人
互补 互补观测系统
移动定位技术 移动定位技术移动定位技术
邮政实物流 实物流
方向 驾驶员舒适性
自动化 自动化监管
电荷 电荷耦合摄像机
式模型 检索式模型
物理 新增物理约束
监控 性能监控
安全软件设计模型 软件设计模型
局部 局部验证
解译 图像解译
编程 全网编程
动态 通道动态
群智协同系统 群智协同
水平 薪资水平
模型 机器翻译模型
扩展 扩展子系统
设施 联邦数据设施
分布式系统 动态分布式系统
情感语音 情感语音数据库
研讨会 大数据研讨会
识别 识别人脸
结构化描述数据 结构化描述
无线传感器监控网络结构 监控网
动画创作流程 流程
芯片 结构芯片
过度 过度采集
知识贡献者 称号
映像 映像系统
图形显示器 盲人触觉图形显示器设计实例
失效恢复 本地化失效恢复
身份认证 身份认证系统
机器翻译 无监督机器翻译
科学数据可视化 收录科学数据可视化
编码 编码学习
群体计算任务设计用户质量度量 量度
环境 仿真环境动态构建
搜索 搜索规模
语言理解 语言理解与生成能力
保护 保护城市环境
数据 数据开放共享
建模 多源数据配准融合建筑三维建模
关系抽取 改善关系抽取
意识 下意识
软件 软件联合验证
监理 监理服务
平台 基础性平台
协议 网络控制协议
服务计算技术 华中科技大学服务计算技术
符号 符号逻辑
查询 查询处理器
接口 输出接口
虚拟机 虚拟机监中取指令
方向 可缩放性
产业 改变传统医疗产业
教育 教育学院
对象类型 类型
大规模城市场景建模 城市场景建模
透明化 透明化感知
标识网络 标识网络平台
验证 实验效果验证
数据安全存储 用户数据安全存储
数据包 用户数据包协议
表 智能手表厂商
器组合 器组合设置成
保护买家 称号
信息采集 情境信息采集
高性能计算 高性能计算机服务平台资源
空闲频谱片段 频谱片段
热点信息 热点信息发现
数据 网内数据
数据 数据共享服务
方向 中国科学院战略性
大数据 大数据生态环境
确定性程序 非确定性程序设计
中间件 语义中间件
公司 网络虚拟化公司
定义 行为定义可信
自然语言查询 自然语言查询转化
构建 构建原图
临床病理 临床病理数据
科研 信息科研
数据分析 感知数据分析
模型 模型一致性验证算法
智能体 智能体包装
量子 量子力学基本原理
关系 能量关系
推理 推理用户
监测与预警 新发重大传染病监测与预警实证研究
工具集 集成工具集
闭性 封闭性检测算法
通用 通用理解
编写 编写英文文章
模拟版图自动化 模拟版图自动化算法
光线 光线传输路径
光波 三维物体光波
万维网服务描述 万维网服务描述语言
互联网体系结构 发达国家十分重视互联网体系结构
聚类网络 聚类网络结构能为
英特尔西雅图研究院 西雅图
因数 基因数据存储
工作流时间 工作流时间管理
链接 文档链接
网络服务质量 网络服务质量管理体系结构
社会感知计算 社会感知计算方法论
关系抽取 空间关系抽取
双向 双向协同
小型计算机 小型计算机系统接口
代码 源代码可信
机器人 机器人参数学习
感知应用 上下文感知应用
机器学习算法 独特能力加速机器学习算法
资源 有限硬件资源
绑定 绑定反射对象
非对称多核芯片 深入研究非对称多核芯片
相关研究 计算相关研究
基础设施 基础设施服务
线圈数据 数据
生物 生物进化系统
分析处理 决策系统分析处理
组织 标准组织
概率信息 描述概率信息
界面 笔交互界面开发
算机 计算机技术专业学位研究生
生物学 神经生物学约束
体系结构自适应 结构自适应
协议 网协议
工程系 工程系讲座
机器学习 机器学习过度
表征学习 网络表征学习
算机 计算机学院保存
拟化 虚拟化集群
算机 计算机学士学位
图像 抽取图像
称号 华人学者
稀疏神经网络加速器 加速器
方向 检查数据的完整性
计算机视觉领域应用 计算机视觉领域
游戏控制器 视频游戏控制器
数据 收集数据
多核 多核计算环境
产业 中国半导体产业
评判贡献者 称号
信息移动 开发者信息移动应用商店记录
网络虚拟化 网络虚拟化平台
课程 系统课程
漏洞挖掘 漏洞挖掘方向
转换成 转换成验证
部门 治安管理部门
工程 加州大学伯克利分校电气工程
处理器 图像处理器多通道并行处理规则数据场
职业 学术职业生涯规划
指纹图 离线指纹图
进程 应用进程
修改能力 能力
系统结构 软件系统结构
时间 评审时间
应用运行 应用运行环境
验证机制 路径验证机制
存储 新方案存储
基础 科研基础
模型 噪声自适应迭代低秩矩阵近似模型
程序正确性验证 正确性验证
图模型 攻击图模型
病变 视网膜病变
激光雷达 激光雷达设备
参数 DNN模型参数
解析计算思维 思维
能量 能量模块
学习 学习路线规划
共享服务 资源共享服务
数据表示 数据表示形式
